,object_id,class,object_path
0,bathtub_0107,bathtub,bathtub/test/bathtub_0107.off
1,bathtub_0108,bathtub,bathtub/test/bathtub_0108.off
2,bathtub_0109,bathtub,bathtub/test/bathtub_0109.off
3,bathtub_0110,bathtub,bathtub/test/bathtub_0110.off
4,bathtub_0111,bathtub,bathtub/test/bathtub_0111.off
5,bathtub_0112,bathtub,bathtub/test/bathtub_0112.off
6,bathtub_0113,bathtub,bathtub/test/bathtub_0113.off
7,bathtub_0114,bathtub,bathtub/test/bathtub_0114.off
8,bathtub_0115,bathtub,bathtub/test/bathtub_0115.off
9,bathtub_0116,bathtub,bathtub/test/bathtub_0116.off
10,bathtub_0117,bathtub,bathtub/test/bathtub_0117.off
11,bathtub_0118,bathtub,bathtub/test/bathtub_0118.off
12,bathtub_0119,bathtub,bathtub/test/bathtub_0119.off
13,bathtub_0120,bathtub,bathtub/test/bathtub_0120.off
14,bathtub_0121,bathtub,bathtub/test/bathtub_0121.off
156,bed_0516,bed,bed/test/bed_0516.off
157,bed_0517,bed,bed/test/bed_0517.off
158,bed_0518,bed,bed/test/bed_0518.off
159,bed_0519,bed,bed/test/bed_0519.off
160,bed_0520,bed,bed/test/bed_0520.off
161,bed_0521,bed,bed/test/bed_0521.off
162,bed_0522,bed,bed/test/bed_0522.off
163,bed_0523,bed,bed/test/bed_0523.off
164,bed_0524,bed,bed/test/bed_0524.off
165,bed_0525,bed,bed/test/bed_0525.off
166,bed_0526,bed,bed/test/bed_0526.off
167,bed_0527,bed,bed/test/bed_0527.off
168,bed_0528,bed,bed/test/bed_0528.off
169,bed_0529,bed,bed/test/bed_0529.off
170,bed_0530,bed,bed/test/bed_0530.off
771,chair_0890,chair,chair/test/chair_0890.off
772,chair_0891,chair,chair/test/chair_0891.off
773,chair_0892,chair,chair/test/chair_0892.off
774,chair_0893,chair,chair/test/chair_0893.off
775,chair_0894,chair,chair/test/chair_0894.off
776,chair_0895,chair,chair/test/chair_0895.off
777,chair_0896,chair,chair/test/chair_0896.off
778,chair_0897,chair,chair/test/chair_0897.off
779,chair_0898,chair,chair/test/chair_0898.off
